"","edf","F","p.value"
"s(SI_LONG_z,SI_LATI_z)",28.7929915891182,633.071954356795,0
"s(dist_pomo_z):reserve_timingbefore",8.57502354536263,39.3187400785574,6.34205345474182e-70
"s(dist_pomo_z):reserve_timingafter",8.93539855979874,315.067276897456,0
"s(dist_shore_z):reserve_timingbefore",8.80028409138765,63.7105752666138,2.39099412064093e-116
"s(dist_shore_z):reserve_timingafter",8.62536609235632,54.8367299158916,4.87687829330526e-99
