"","YEAR","port_per_trip","region","nation","reserve","fished","total_effort","displacement","dataset"
"57",2014,"MARANO LAGUNARE",NA,NA,0,15.45,15.45,0,"AIS_2014"
"58",2014,"MEDULIN",NA,"HRV",0,118.8,118.8,0,"AIS_2014"
"59",2014,"MOLA DI BARI","puglia","ITA",0,1754.13333333333,1754.13333333333,0,"AIS_2014"
"60",2014,"MOLA DI BARI",NA,NA,0,207.783333333333,207.783333333333,0,"AIS_2014"
"61",2014,"MOLFETTA","puglia","ITA",1.23333333333333,3248.95,3250.18333333333,0.038,"AIS_2014"
"62",2014,"MOLFETTA",NA,NA,0,3504.65,3504.65,0,"AIS_2014"
"63",2014,"MOLUNAT",NA,"HRV",0,247.283333333333,247.283333333333,0,"AIS_2014"
"64",2014,"MONOPOLI","puglia","ITA",0,2758.46666666667,2758.46666666667,0,"AIS_2014"
"65",2014,"MONOPOLI",NA,NA,0,164.5,164.5,0,"AIS_2014"
"66",2014,"MURTER",NA,"HRV",0,27.7666666666667,27.7666666666667,0,"AIS_2014"
"67",2014,"MURTER",NA,NA,0.866666666666667,3.23333333333333,4.1,21.138,"AIS_2014"
"68",2014,"NOVIGRAD",NA,"HRV",0,189.533333333333,189.533333333333,0,"AIS_2014"
"69",2014,"NOVIGRAD",NA,NA,0,158,158,0,"AIS_2014"
"70",2014,"OREBIC",NA,"HRV",0,831.083333333333,831.083333333333,0,"AIS_2014"
"71",2014,"OREBIC",NA,NA,0,75.5166666666667,75.5166666666667,0,"AIS_2014"
"72",2014,"ORTONA","abruzzo","ITA",1243.33333333333,7115.01666666667,8358.35,14.875,"AIS_2014"
"73",2014,"ORTONA",NA,NA,11.3166666666667,1030.31666666667,1041.63333333333,1.086,"AIS_2014"
"74",2014,"OTRANTO","puglia","ITA",0,1077.85,1077.85,0,"AIS_2014"
"75",2014,"OTRANTO",NA,NA,0,479.45,479.45,0,"AIS_2014"
"76",2014,"PESARO","marche","ITA",0,3188.91666666667,3188.91666666667,0,"AIS_2014"
"77",2014,"PESARO",NA,NA,0,659.4,659.4,0,"AIS_2014"
"78",2014,"PESCARA","abruzzo","ITA",2320.7,23515.1333333333,25835.8333333333,8.982,"AIS_2014"
"79",2014,"PESCARA",NA,NA,37.85,206.966666666667,244.816666666667,15.461,"AIS_2014"
"80",2014,"PLOCE",NA,NA,52.3,12.35,64.65,80.897,"AIS_2014"
"81",2014,"PLOMIN",NA,"HRV",0,18.5833333333333,18.5833333333333,0,"AIS_2014"
"82",2014,"PLOMIN",NA,NA,0,12.6833333333333,12.6833333333333,0,"AIS_2014"
"83",2014,"POREC",NA,"HRV",0,72.0666666666667,72.0666666666667,0,"AIS_2014"
"84",2014,"POREC",NA,NA,0,70.4666666666667,70.4666666666667,0,"AIS_2014"
"85",2014,"PORTO GARIBALDI","emilia","ITA",0,936.566666666667,936.566666666667,0,"AIS_2014"
"86",2014,"PORTO GARIBALDI",NA,NA,0,332.566666666667,332.566666666667,0,"AIS_2014"
"87",2014,"PORTO SAN GIORGIO","marche","ITA",0,2129.53333333333,2129.53333333333,0,"AIS_2014"
"88",2014,"PORTO SAN GIORGIO",NA,NA,0,465.833333333333,465.833333333333,0,"AIS_2014"
"89",2014,"PORTO TOLLE","veneto","ITA",0,7684.86666666667,7684.86666666667,0,"AIS_2014"
